"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5bca94d1cebbfd287ee603bb3524b2c0",34.5430326978243,-5.78353994484766,1.00018395310245,-5.78247624040338,7.36089681878755e-09,8.05538143169054e-07,"Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium"
"39c9ec4816c95f52363bccc6d63cd9b4",10.6644159286087,-4.02807030028816,0.950437344814894,-4.2381229254756,2.2539635530369e-05,0.000722703982546992,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"388b17f0d35a40a70efeecbde82f0ca2",22.5934125433456,-5.15713694830201,0.966251912718612,-5.33725923894119,9.43620779976478e-08,6.25024606105473e-06,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","metagenome"
"b49400e2e1326ca91682a1b04c8dfff1",4.71514528249359,-2.73455681955821,0.864939622990284,-3.16155804043784,0.00156927541337258,0.0233916412710156,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured",NA
"250166f5f9627c5689048d0a2d6135e3",4.92009834769363,-2.80494171217966,0.871921107577301,-3.21696732399723,0.0012955335294677,0.0200668178072012,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncultured","uncultured_bacterium"
"1f43c1cff509b28abf6b73aaf135ac09",40.0185569994306,-4.13566056154141,0.956161272565996,-4.32527511854017,1.52341611451608e-05,0.000525265528799586,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","metagenome"
"814261b018dd5af01773e94283ba1428",6.30353153779388,-3.20701855451153,0.911259929780783,-3.51932357574751,0.000432648680764224,0.00831279946170649,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus",NA
"28a47118c3fb9dd318cc949d432f7fc6",4.2027626194935,-2.54192505121896,0.845700421849654,-3.00570389412772,0.00264966885156771,0.0351011394705049,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinocorallia","metagenome"
"392c8f41d4d06b5cfda9c4155ddb6bb9",32.6037618089494,-5.6986221374257,0.99643470380852,-5.7190121095188,1.07145159757715e-08,1.05758575337321e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",NA
"e55cb046145429d25ca7e40789bebb3b",15.2187821292035,-4.56736047306313,0.993550123223644,-4.59701062513485,4.28595771038262e-06,0.000179795925950551,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","uncultured_bacterium"
"26edce73ba76b205363b90ebe409bedb",6.92493220304283,3.35894508718128,0.925469086985726,3.62945141487269,0.000284024180554622,0.0057652327617418,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured_bacterium"
"39690d7d7c1c1516ccff14901461292f",4.81657322765536,-2.76984853781536,0.868439546029026,-3.1894546378969,0.00142541508032404,0.0215481667097634,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured","uncultured_bacterium"
"cc8d4319eb0cb7f140e92f4456923c37",46.5321292710531,-6.22010586720198,0.94442772810494,-6.5861110195092,4.51496274901149e-11,2.07311324238467e-08,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured","uncultured_soil"
"6b5cbb707a3f77e197ec52e7b6fb34f0",3.84783943016155,2.39412407381449,0.830436447714006,2.88297085274248,0.00393943890681272,0.0481338239245029,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"dfe0960bb475061d36fbb77202230866",8.30581630620985,3.64447465581823,0.980460636653249,3.7171045114656,0.000201519095596668,0.00456958165420553,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"2acfbb2c56879a2438834cc58ad98f45",6.09857847259384,-3.15407218750193,0.906139722771107,-3.48077907660456,0.000499957681092464,0.00935085955055649,"Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","uncultured_Kineosporiaceae"
"959a4430a6692c297073546339f5814b",18.090194198218,-4.82633913691023,0.940762106013574,-5.13024398629486,2.89366867426614e-07,1.66752813904759e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","metagenome"
"4b8ac0186690ce13514bbc42d1aa34ec",69.02247871324,-4.5803418269193,0.898923461068269,-5.09536353793245,3.48072670103374e-07,1.94688646811154e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter","uncultured_proteobacterium"
"4c594aa62e8e0a999468d99c874aaf0d",10.5594203597393,-4.01292664936891,0.947713596949953,-4.23432423285241,2.29240000024762e-05,0.000730376050711804,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24","R7C24","R7C24",NA
"c18fa306176f4afeb12e7d1c219a1492",7.12600418219135,-2.74732457932217,0.848441601666751,-3.2380832975718,0.00120335669479773,0.0189303050050368,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_bacterium"
"313c09d237f21fc1d7f4ab0a5adb525e",27.3229044535211,-5.43831632412817,0.949915392531859,-5.72505337515707,1.03401226440138e-08,1.05758575337321e-06,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA
"0b0a3b90b2255b67c93a3f269eceeaee",10.7072511727936,-4.03424173716534,0.949446834881673,-4.24904437926544,2.14684388269631e-05,0.000697239490676984,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","uncultured",NA
"4962667ffa32378cbb73f193bd60407d",7.49964190667989,3.48460866451493,0.965595504210732,3.60876645481403,0.000307656416741107,0.00613193422477356,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_johnsonii"
"b7cc1035021594905c2eb56394fa4060",6.50848460299391,-3.25809268803158,0.87939044239766,-3.70494439210458,0.000211437113218712,0.00467671842890587,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured","uncultured_bacterium"
"3ebbbd53a7801da51494892c5766a165",4.87200854302586,-2.78864451119323,0.870318886082756,-3.20416407800217,0.00135455257337526,0.0208875548038299,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24","R7C24","R7C24","metagenome"
"91e174c6749dda5377d0b1011de3b253",8.21982379772699,3.62813659765218,0.934716018425412,3.88153891249666,0.000103797539089874,0.0026059863401077,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"6027591eae7eeaf55ab3e837c52103aa",3.84632724595962,-2.53905792189127,0.853092848467456,-2.97629727696413,0.00291751899962863,0.0382240486661438,"Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","IMCC26256","IMCC26256",NA
"7697ef6b0158c244e17c88fff2231651",14.910232051744,-3.75762322950886,0.924289195693657,-4.06541940229957,4.79461619779037e-05,0.00134838535975848,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Luedemannella","metagenome"
"db37f9b3eb28ee186715104d8351107b",3.94730137034793,-2.58285515169392,0.857555059846263,-3.01188258647434,0.00259632999888676,0.0348531339050558,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Planctomicrobium","uncultured_bacterium"
