OTUID	F346	F347	F348	F350	F351	F352	F353	F354	F355	F356	F357	F358	F359	F360	F361	F362	F363	F364	F365	F366	F367	F368	F369	taxonomy
ac59e33131849416e8e4e90ea2211d53	0	0	0	0	0	3131	0	0	30	58	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
43aa01037e1a332b9a672d6196830bee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae
9324381c010d6ebfcb15cce31d2d061e	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium
42770015710d2ae6601ecdecb6b59f80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
9bb1d08a45bcb01baf8a5c5784da8210	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__unidentified
893cbc9b6ba7a3ea1b03f4c2a4c7792f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
e6449971b0ea8c48ad0c0752e420e37b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
e3750dc0a4fc4f44638fc66606c1798a	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae
91d91bbade9804fca29d8d2d702fc35e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
167d4b3088841b4fc0cd620cfd2f149d	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	60	0	229	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Geastrales
a6bece6d3ffd69cd94c3dbd78fb78370	0	0	0	0	0	16	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; g__Seiridium
36991f62774acb762269833c7332dc1b	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
4143437094efd8cbab7c032251ccc09f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes
0c0694da574f9f84914fb1a198e63e8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidium
e55557291c65f7d0e0512c7cd26b54b6	0	0	0	0	0	240	110	0	123	0	13	0	0	0	0	0	0	107	64	80	92	132	132	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
7df64fe41388ea7f23338aa46b78fd35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Psathyrella
f2e16cd433ad613c300df2f422a9e53e	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Sympoventuriaceae
761eb7f78721e6fdbb949b29b8391ed3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae
80734b19b75469cce253d54a42cd4ad8	0	0	0	0	0	138	64	35	0	0	42	0	0	0	11	0	0	0	74	43	430	185	144	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae
bb97a74b1678af912ee47ac39fd824cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	35	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae
f4767ad0c65aacd170ffc7c1252ff96b	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron
c7c453a7bd183166acc71a1283616ab5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
d4bab5218406f343ab9bd671fc84dfcc	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Mariannaea
46d05a0220984af8010663832963504c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	13	16	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
